#Rule 	 #Vars 	 Cov 	 Sign 	 Unus 	 Acc 	 Sens 	 Supp 	 Cnf
0	5,0000	0,2370	28,3946	0,1016	 ---- 	0,4200	0,2333	0,9844
1	4,0000	0,2481	26,7830	0,1029	 ---- 	0,4333	0,2407	0,9701
2	4,0000	0,3407	26,8225	0,1255	 ---- 	0,5667	0,3148	0,9239
3	4,0000	0,2667	24,1163	0,1037	 ---- 	0,4533	0,2519	0,9444
4	4,0000	0,2963	23,4962	0,1095	 ---- 	0,4933	0,2741	0,9250
5	4,0000	0,2037	30,8899	0,1058	 ---- 	0,4417	0,1963	0,9636
6	3,0000	0,2519	31,4131	0,1214	 ---- 	0,5250	0,2333	0,9265
7	3,0000	0,2889	27,0567	0,1235	 ---- 	0,5667	0,2519	0,8718
8	3,0000	0,3037	22,4918	0,1169	 ---- 	0,5667	0,2519	0,8293
9	3,0000	0,2815	16,4569	0,0971	 ---- 	0,5000	0,2222	0,7895
---	3,7000	0,2719	25,7921	0,1108	0,8556	0,4967	0,8556	0,9129
