Measures used as objectives: COMP, UNUS, FCNF, 
Class 	COMP	UNUS	FCNF	FITNESS
0	0,000000	0,000000	0,000000	0,166667
0	0,000000	0,000000	0,000000	0,166667
0	0,000000	0,000000	0,000000	0,166667
1	0,000000	0,000000	0,000000	0,111111
1	0,000000	0,000000	0,000000	0,111111
1	0,000000	0,000000	0,000000	0,111111
2	0,000000	0,000000	0,000000	0,250000
2	0,000000	0,000000	0,000000	0,250000
2	0,000000	0,000000	0,000000	0,250000
3	0,000000	0,000000	0,000000	0,200000
3	0,000000	0,000000	0,000000	0,200000
3	0,000000	0,000000	0,000000	0,200000
