Measures used as objectives: COMP, UNUS, FCNF, 
Class 	COMP	UNUS	FCNF	FITNESS
0	0,000000	0,000000	0,000000	0,111111
0	0,000000	0,000000	0,000000	0,111111
0	0,000000	0,000000	0,000000	0,111111
1	0,000000	0,000000	0,000000	0,142857
1	0,000000	0,000000	0,000000	0,142857
1	0,000000	0,000000	0,000000	0,142857
2	0,000000	0,000000	0,000000	0,250000
2	0,000000	0,000000	0,000000	0,250000
2	0,000000	0,000000	0,000000	0,250000
3	0,346939	0,000000	1,000000	0,000000
3	0,387755	0,000000	0,950000	0,500000
3	0,346939	0,000000	1,000000	0,000000
4	0,000000	0,000000	0,000000	0,200000
4	0,000000	0,000000	0,000000	0,200000
4	0,000000	0,000000	0,000000	0,200000
5	0,000000	0,000000	0,000000	0,333333
5	0,000000	0,000000	0,000000	0,333333
5	0,000000	0,000000	0,000000	0,333333
