Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	22,000000	0,000000	0,000000	0,000000	0,166667	0,000000	0,000000	0,000000	0,000000	0,000000
001   	000	-	24,000000	0,000000	0,000000	0,000000	0,166667	0,000000	0,000000	0,000000	0,000000	0,000000
002   	000	-	24,000000	0,000000	0,000000	0,000000	0,166667	0,000000	0,000000	0,000000	0,000000	0,000000
003   	001	-	21,000000	0,000000	0,000000	0,000000	0,166667	0,000000	0,000000	0,000000	0,000000	0,000000
004   	001	-	21,000000	0,000000	0,000000	0,000000	0,166667	0,000000	0,000000	0,000000	0,000000	0,000000
005   	001	-	19,000000	0,000000	0,000000	0,000000	0,166667	0,000000	0,000000	0,000000	0,000000	0,000000
006   	002	-	22,000000	0,000000	0,000000	0,000000	0,166667	0,000000	0,000000	0,000000	0,000000	0,000000
007   	002	-	22,000000	0,000000	0,000000	0,000000	0,166667	0,000000	0,000000	0,000000	0,000000	0,000000
008   	002	-	21,000000	0,000000	0,000000	0,000000	0,166667	0,000000	0,000000	0,000000	0,000000	0,000000
009   	003	-	16,000000	0,000000	0,000000	0,000000	0,166667	0,346939	0,000000	0,015483	1,000000	0,000000
010   	003	-	17,000000	0,000000	0,000000	0,000000	0,166667	0,387755	0,000000	0,017304	0,950000	0,000000
011   	003	-	17,000000	0,000000	0,000000	0,000000	0,166667	0,346939	0,000000	0,015483	1,000000	0,000000
012   	004	-	24,000000	0,000000	0,000000	0,000000	0,166667	0,000000	0,000000	0,000000	0,000000	0,000000
013   	004	-	23,000000	0,000000	0,000000	0,000000	0,166667	0,000000	0,000000	0,000000	0,000000	0,000000
014   	004	-	24,000000	0,000000	0,000000	0,000000	0,166667	0,000000	0,000000	0,000000	0,000000	0,000000
015   	005	-	18,000000	0,000000	0,000000	0,000000	0,166667	0,000000	0,000000	0,000000	0,000000	0,000000
016   	005	-	19,000000	0,000000	0,000000	0,000000	0,166667	0,000000	0,000000	0,000000	0,000000	0,000000
017   	005	-	18,000000	0,000000	0,000000	0,000000	0,166667	0,000000	0,000000	0,000000	0,000000	0,000000
-    	- 	018	20,666666	0,000000	0,000000	0,000000	0,166667	0,060091	0,000000	0,002682	0,163889	0,000000
