Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	9,000000	0,000000	0,000000	0,000000	0,250000	0,094340	0,000000	0,003062	0,556134	0,000000
001   	000	-	7,000000	0,013002	5,779456	-0,000894	0,200000	0,485849	0,002364	0,031382	0,224244	0,181818
002   	000	-	7,000000	0,000000	0,000000	0,000000	0,250000	0,245283	0,000000	0,009902	0,347442	0,000000
003   	001	-	11,000000	0,000000	0,000000	0,000000	0,250000	0,041475	0,000000	0,000821	0,632338	0,000000
004   	001	-	6,000000	0,121749	7,995477	0,004232	0,289720	0,557604	0,035461	0,050645	0,240743	0,291262
005   	001	-	8,000000	0,028369	8,521626	0,003362	0,357143	0,239631	0,010638	0,018278	0,263506	0,375000
006   	002	-	9,000000	0,000000	0,000000	0,000000	0,250000	0,435780	0,000000	0,017749	0,569467	0,000000
007   	002	-	4,000000	0,076832	43,115166	0,040485	0,753623	1,000000	0,060284	0,100856	0,336802	0,784615
008   	002	-	11,000000	0,000000	0,000000	0,000000	0,250000	0,022936	0,000000	0,000166	1,000000	0,000000
009   	003	-	7,000000	0,274232	59,054577	0,078520	0,516949	0,994975	0,143026	0,105735	0,371313	0,521552
010   	003	-	9,000000	0,004728	5,028138	0,003616	0,625000	0,437186	0,004728	0,025946	0,483347	1,000000
011   	003	-	8,000000	0,018913	16,788239	0,013282	0,800000	0,658291	0,017730	0,043394	0,470712	0,937500
-    	- 	012	8,000000	0,044819	12,190224	0,011884	0,399370	0,434446	0,269504	0,033995	0,458004	0,340979
