Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	9,000000	0,842778	5,337978	0,003625	0,027508	1,000000	0,023056	0,020054	0,033895	0,027357
001   	000	-	16,000000	0,405139	29,536301	0,004965	0,035616	0,620482	0,014306	0,012457	0,043999	0,035310
002   	000	-	14,000000	0,609722	15,997643	0,004693	0,030958	0,813253	0,018750	0,016452	0,038911	0,030752
003   	001	-	10,000000	0,751806	11,809583	0,012130	0,067393	0,991848	0,050556	0,034297	0,066106	0,067246
004   	001	-	15,000000	0,402917	25,067045	0,013434	0,084711	0,668478	0,034028	0,023196	0,082629	0,084454
005   	001	-	14,000000	0,615556	12,706189	0,011594	0,070124	0,845109	0,043056	0,029213	0,068645	0,069946
006   	002	-	5,000000	0,061528	29,651941	0,004563	0,995516	0,961296	0,061528	0,316502	0,949964	1,000000
007   	002	-	8,000000	0,048750	23,493975	0,003616	0,994350	0,830933	0,048750	0,272186	0,954452	1,000000
008   	002	-	9,000000	0,005000	2,409638	0,000371	0,948718	0,372787	0,005000	0,086458	0,964849	1,000000
-    	- 	009	11,111111	0,415910	17,334478	0,006554	0,361655	0,789354	0,135139	0,090090	0,355939	0,368340
