#Rule 	 #Vars 	 Cov 	 Sign 	 Unus 	 Acc 	 Sens 	 Supp 	 Cnf
0	2,0000	0,3333	47,7121	0,2222	 ---- 	1,0000	0,3333	1,0000
1	2,0000	0,3333	47,7121	0,2222	 ---- 	1,0000	0,3333	1,0000
2	2,0000	0,2800	15,7084	0,1200	 ---- 	0,6400	0,2133	0,7619
3	2,0000	0,1067	15,2679	0,0711	 ---- 	0,3200	0,1067	1,0000
4	2,0000	0,1933	27,6730	0,1289	 ---- 	0,5800	0,1933	1,0000
5	2,0000	0,1867	26,7188	0,1244	 ---- 	0,5600	0,1867	1,0000
6	2,0000	0,6333	8,6841	0,0889	 ---- 	0,9000	0,3000	0,4737
7	2,0000	0,5533	5,7920	0,0556	 ---- 	0,7200	0,2400	0,4337
8	4,0000	0,3067	24,1447	0,1444	 ---- 	0,7400	0,2467	0,8043
9	3,0000	0,3133	23,7191	0,1422	 ---- 	0,7400	0,2467	0,7872
10	2,0000	0,4733	30,3027	0,1756	 ---- 	1,0000	0,3333	0,7042
11	2,0000	0,4800	30,2132	0,1733	 ---- 	1,0000	0,3333	0,6944
12	2,0000	0,3400	22,6327	0,1333	 ---- 	0,7400	0,2467	0,7255
---	2,2308	0,3487	25,0985	0,1386	0,8733	0,7646	1,0000	0,7989
