#Rule 	 #Vars 	 Cov 	 Sign 	 Unus 	 Acc 	 Sens 	 Supp 	 Cnf
0	2,0000	1,0000	0,0000	0,0000	 ---- 	1,0000	0,6429	0,6429
1	2,0000	1,0000	0,0000	0,0000	 ---- 	1,0000	0,6429	0,6429
2	2,0000	1,0000	0,0000	0,0000	 ---- 	1,0000	0,6429	0,6429
3	2,0000	1,0000	0,0000	0,0000	 ---- 	1,0000	0,6429	0,6429
4	3,0000	0,3571	1,7878	0,1582	 ---- 	0,8000	0,2857	0,8000
5	2,0000	0,7143	0,3698	0,1020	 ---- 	1,0000	0,3571	0,5000
6	2,0000	0,5000	0,5764	0,1071	 ---- 	0,8000	0,2857	0,5714
7	2,0000	1,0000	0,0000	0,0000	 ---- 	1,0000	0,3571	0,3571
8	2,0000	1,0000	0,0000	0,0000	 ---- 	1,0000	0,3571	0,3571
---	2,1111	0,8413	0,3038	0,0408	0,6429	0,9556	1,0000	0,5730
