Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	2,000000	0,333333	47,712124	0,222222	0,962264	1,000000	0,333333	0,333333	1,000000	1,000000
001   	000	-	3,000000	0,333333	47,712124	0,222222	0,962264	1,000000	0,333333	0,333333	1,000000	1,000000
002   	000	-	2,000000	0,333333	47,712124	0,222222	0,962264	1,000000	0,333333	0,333333	1,000000	1,000000
003   	001	-	3,000000	0,313333	10,036963	0,102222	0,640000	0,620000	0,206667	0,206667	0,659574	0,659574
004   	001	-	2,000000	0,606667	7,659779	0,077778	0,457447	0,840000	0,280000	0,280000	0,461538	0,461538
005   	001	-	2,000000	0,186667	26,718790	0,124444	0,935484	0,560000	0,186667	0,186667	1,000000	1,000000
006   	002	-	3,000000	0,020000	1,204120	0,000000	0,333333	0,020000	0,006667	0,006667	0,333333	0,333333
007   	002	-	2,000000	0,553333	5,792036	-0,097778	0,162791	0,260000	0,086667	0,086667	0,156627	0,156627
008   	002	-	3,000000	0,313333	10,036963	-0,031111	0,240000	0,220000	0,073333	0,073333	0,234043	0,234043
-    	- 	009	2,444444	0,332593	22,731667	0,093580	0,628427	0,613333	0,713333	0,204444	0,649457	0,649457
