Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	3,000000	0,333333	47,712124	0,222222	0,962264	1,000000	0,333333	0,273597	0,974314	1,000000
001   	000	-	4,000000	0,286667	41,032429	0,191111	0,956522	0,980000	0,286667	0,227128	0,973445	1,000000
002   	000	-	2,000000	0,333333	47,712124	0,222222	0,962264	1,000000	0,333333	0,280904	0,968446	1,000000
003   	001	-	5,000000	0,000000	0,000000	0,000000	0,333333	0,080000	0,000000	0,000000	1,000000	0,000000
004   	001	-	3,000000	0,413333	32,703815	0,195556	0,784615	1,000000	0,333333	0,269397	0,660678	0,806452
005   	001	-	5,000000	0,033333	2,597992	0,015556	0,625000	0,640000	0,026667	0,051111	0,757114	0,800000
006   	002	-	4,000000	0,000000	0,000000	0,000000	0,333333	0,160000	0,000000	0,011667	0,954545	0,000000
007   	002	-	2,000000	0,193333	27,673035	0,128889	0,937500	1,000000	0,193333	0,201667	0,889706	1,000000
008   	002	-	3,000000	0,053333	7,633940	0,035556	0,818182	0,780000	0,053333	0,088518	0,891791	1,000000
-    	- 	009	3,444444	0,182963	23,007273	0,112346	0,745890	0,737778	0,860000	0,155999	0,896671	0,734050
