Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	2,000000	0,986301	0,005719	-0,001877	0,606164	0,983240	0,602740	0,601761	0,610725	0,611111
001   	000	-	5,000000	0,417808	23,408287	0,100042	0,833333	0,608939	0,356164	0,347652	0,856557	0,852459
002   	000	-	4,000000	0,003425	0,425060	0,001325	0,400000	0,011173	0,003425	0,002634	1,000000	1,000000
003   	001	-	2,000000	0,986301	0,005719	0,002064	0,154110	1,000000	0,150685	0,150685	0,152929	0,152778
004   	001	-	3,000000	0,191781	25,309584	0,077266	0,533333	0,977273	0,106164	0,074552	0,456452	0,553571
005   	001	-	4,000000	0,150685	25,923714	0,069760	0,583333	0,750000	0,092466	0,060854	0,546099	0,613636
006   	002	-	4,000000	0,065068	4,764561	0,004175	0,130435	0,666667	0,006849	0,007903	0,097403	0,105263
007   	002	-	2,000000	0,986301	0,005719	0,000563	0,044521	1,000000	0,041096	0,041096	0,041708	0,041667
008   	002	-	5,000000	0,027397	3,117362	0,005723	0,250000	0,166667	0,006849	0,006164	0,250000	0,250000
009   	003	-	3,000000	0,006849	2,838032	0,005512	0,500000	0,035088	0,006849	0,006322	1,000000	1,000000
010   	003	-	2,000000	0,308219	1,141571	0,018601	0,255319	0,824561	0,078767	0,086934	0,230447	0,255556
011   	003	-	4,000000	0,000000	0,000000	0,000000	0,250000	0,122807	0,000000	0,003846	0,261649	0,000000
-    	- 	012	3,333333	0,344178	7,245445	0,023596	0,378379	0,595535	0,880137	0,115867	0,458664	0,453003
