Measures used as objectives: COMP, UNUS, FCNF, 
Class 	COMP	UNUS	FCNF	FITNESS
0	0,983240	-0,001877	0,610725	0,000276
0	0,608939	0,100042	0,856557	0,155808
0	0,011173	0,001325	1,000000	0,000000
1	1,000000	0,002064	0,152929	0,100575
1	0,977273	0,077266	0,456452	0,447910
1	0,750000	0,069760	0,546099	0,447910
2	0,666667	0,004175	0,097403	0,311772
2	1,000000	0,000563	0,041708	0,000492
2	0,166667	0,005723	0,250000	0,000006
3	0,035088	0,005512	1,000000	0,005050
3	0,824561	0,018601	0,230447	0,007089
3	0,122807	0,000000	0,261649	0,623874
